date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:20:14	77840/77840	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Aug%202019%2013:50:08%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/men.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/men.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:14	26895/26895	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:24:34%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/selfintro.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/selfintro.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:14	2412/2412	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Dec%202019%2011:20:32%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/signature.png	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/signature.png	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:14	6019/6019	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Dec%202019%2011:21:02%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/services/port_services01.png	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/services/port_services01.png	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:15	5201/5201	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Dec%202019%2011:20:50%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/services/port_services02.png	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/services/port_services02.png	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:15	6059/6059	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Dec%202019%2011:19:08%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/services/port_services03.png	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/services/port_services03.png	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:15	6030/6030	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Dec%202019%2011:25:06%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/services/port_services04.png	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/services/port_services04.png	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:16	6346/6346	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Dec%202019%2011:21:12%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/services/port_services05.png	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/services/port_services05.png	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:16	5836/5836	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Dec%202019%2011:19:22%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/services/port_services06.png	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/services/port_services06.png	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:16	20305/20305	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:22:12%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product01.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product01.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:16	27316/27316	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:23:14%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product02.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product02.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:17	64978/64978	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:22:24%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product03.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product03.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:17	26996/26996	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:24:10%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product09.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product09.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:17	24808/24808	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:22:02%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product05.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product05.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:18	15904/15904	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:23:56%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product06.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product06.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:18	103564/103564	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:21:52%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product07.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product07.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:18	32668/32668	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:24:18%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product04.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product04.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:18	28760/28760	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:22:34%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product08.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/product/cv-product08.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:19	59845/59845	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:21:38%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/port_testimonial01.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/port_testimonial01.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:19	85719/85719	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:21:32%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/port_testimonial02.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/port_testimonial02.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:19	47885/47885	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:24:48%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/port-blog1.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/port-blog1.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:21	50473/50473	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Nov%202022%2010:21:06%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/blog.html	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/blog.html	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:21	59189/59189	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:23:46%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/port-blog2.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/port-blog2.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:21	65324/65324	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Dec%202019%2011:23:32%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/port-blog3.jpg	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/images/port-blog3.jpg	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:21	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Sep%202025%2005:50:19%20GMT	https://kamleshyadav.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:22	89502/89502	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2016%20Mar%202025%2008:48:11%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/js/jquery.min.js	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/js/jquery.min.js	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:22	60090/60090	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2017%20Mar%202025%2008:24:24%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/js/bootstrap.min.js	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:22	7872/7872	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2017%20Mar%202025%2013:59:55%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/js/cvtext1.js	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/js/cvtext1.js	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:23	1716/1716	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2016%20Mar%202025%2020:35:16%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/js/cvtext2.js	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/js/cvtext2.js	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:23	35609/35609	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2017%20Mar%202025%2006:16:40%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/js/isotope.pkgd.min.js	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/js/isotope.pkgd.min.js	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
11:20:23	20380/20380	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2017%20Mar%202025%2017:40:42%20GMT	https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/https___kamleshyadav.com_html_portfolio_html_bootstrap5_color_version_index.html/kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/assets/js/jquery.magnific-popup.min.js	(from https://kamleshyadav.com/html/portfolio/html/bootstrap5/color_version/index.html)
